name,role,skin_type,power_level,weight,height,gender,speed,has_hair,planet
Manhunter,Villain,Wooden,86,213,300,0,386,True,Mars
Neon Netrunner,Villain,Wooden,2,141,265,2,292,False,Earth
Kakashi,Villain,Wooden,83,196,205,3,198,False,Venus
Valiant Templar,Hero,Wooden,25,48,375,2,386,False,Mars
Mon-El,Villain,Wooden,56,207,175,1,151,True,Venus
Hawkeye,Hero,Steel,40,86,265,1,10,True,Venus
Ragman,Villain,Stone,41,174,215,1,151,False,Earth
Chivalrous Paladin,Villain,Wooden,83,119,360,0,57,False,Pluto
Wonder Man,Hero,Stone,29,177,270,0,151,False,Pluto
Radiant Sentinel,Villain,Wooden,73,156,110,3,339,True,Pluto
Human Torch,Hero,Wooden,81,177,110,3,339,True,Earth
Son Gohan,Hero,Steel,18,115,285,2,480,False,Earth
Encrypted Overclock,Hero,Steel,99,201,180,2,151,False,Venus
Trunks,Villain,Stone,40,136,115,0,339,True,Mars
Hyperion,Villain,Steel,27,200,295,3,480,True,Mars
Kurama,Villain,Stone,49,82,305,2,10,True,Venus
Cloak,Hero,Stone,6,129,375,0,480,False,Earth
Steel,Hero,Wooden,12,45,295,1,386,True,Venus
Brave Paladin,Hero,Steel,76,144,180,1,245,False,Pluto
Noble Crusader,Hero,Wooden,47,193,350,1,433,False,Mars
Ethereal Crusader,Hero,Steel,82,115,320,2,292,False,Mars
Kid Omega,Villain,Steel,47,29,210,1,245,True,Venus
Katana,Villain,Steel,12,170,170,0,292,False,Earth
Valiant Mage,Villain,Stone,25,47,265,1,292,False,Venus
Machine Man,Villain,Steel,43,31,255,0,10,True,Venus
Spectrum,Hero,Wooden,5,174,205,2,386,False,Venus
Kenshiro,Villain,Wooden,33,73,185,3,245,True,Mars
Lady Blackhawk,Hero,Steel,75,79,150,2,292,False,Earth
Johnny Quick,Hero,Stone,72,128,310,2,151,True,Earth
Divine Knight,Villain,Wooden,88,116,290,3,10,True,Earth
Shang-Chi,Villain,Wooden,44,117,250,0,386,False,Mars
Saitama,Hero,Stone,35,61,160,3,292,False,Venus
Rocket,Villain,Steel,27,152,130,3,339,False,Pluto
Ethereal Knight,Hero,Stone,95,22,225,1,245,True,Earth
Namor,Villain,Stone,24,179,155,3,292,False,Pluto
Holographic Cyborg,Hero,Wooden,31,210,185,3,198,True,Pluto
Augmented Shadowcaster,Hero,Stone,26,60,180,1,433,False,Venus
Ice,Villain,Wooden,55,219,265,3,245,True,Venus
Static Shock,Villain,Steel,86,197,225,3,151,True,Earth
Brave Crusader,Villain,Wooden,21,193,390,2,198,False,Earth
Rockslide,Villain,Wooden,79,165,150,1,198,True,Mars
Jojo,Villain,Steel,2,191,215,1,292,False,Mars
Digital Technomancer,Villain,Stone,22,20,340,0,386,True,Venus
Plastic Man,Villain,Steel,76,125,245,2,480,False,Mars
Wasp,Hero,Steel,88,56,295,1,151,True,Mars
Radiant Mage,Villain,Stone,92,198,335,0,245,False,Venus
Pixelated Cyborg,Hero,Wooden,51,180,250,2,292,False,Venus
Arcane Crusader,Villain,Stone,34,173,320,1,198,False,Venus
The Question,Villain,Wooden,11,181,395,1,57,True,Earth
Havok,Hero,Steel,84,85,175,2,245,True,Pluto
Iron Man,Villain,Wooden,3,205,310,3,339,True,Earth
Holographic Hacker,Hero,Stone,32,136,285,2,292,False,Mars
Radiant Spellblade,Hero,Steel,73,172,295,1,433,True,Pluto
Inuyasha,Villain,Wooden,83,216,385,1,292,False,Pluto
Obanai Iguro,Villain,Wooden,60,119,290,3,433,False,Mars
Tengen Uzui,Hero,Steel,25,115,210,2,480,True,Pluto
